org,file_,contributers,top,major,minor,defect_status
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-cinder/manifests/backup/ceph.pp,4,0.25,4,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-designate/manifests/central.pp,9,0.25,6,3,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/openstack/manifests/galera/client.pp,4,0.25,4,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-ceph/manifests/rgw/apache.pp,3,0.5714285714285714,3,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/fuel/examples/cobbler.pp,6,0.3333333333333333,6,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/cobbler/manifests/iptables.pp,6,0.25,6,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-cinder/manifests/db.pp,8,0.125,8,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-mistral/manifests/db/mysql.pp,6,0.16666666666666666,6,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-ceph/manifests/params.pp,15,0.14285714285714285,3,12,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/openstack/manifests/ha/sahara.pp,7,0.25,7,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/openstack/manifests/ha/ceilometer.pp,8,0.2222222222222222,8,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-plugin-manila/deployment_scripts/puppet/manifests/site.pp,1,1.0,1,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-keystone/examples/ldap_full.pp,4,0.5555555555555556,4,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/fuel/examples/nailgun.pp,2,0.6666666666666666,2,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-plugin-influxdb-grafana/deployment_scripts/puppet/manifests/firewall.pp,3,0.5,3,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/openstack/manifests/ha/radosgw.pp,11,0.1875,11,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-gnocchi/manifests/db/mysql.pp,5,0.5,5,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-barbican/manifests/db/mysql.pp,5,0.2,5,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-openstack-cookiecutter/puppet-{{cookiecutter.project_name}}/manifests/db/mysql.pp,5,0.2,5,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-zaqar/manifests/db/mysql.pp,4,0.25,4,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/openstack_tasks/manifests/openstack_controller/keystone.pp,3,0.5,3,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-vitrage/manifests/db/mysql.pp,4,0.4,4,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-cinder/manifests/volume/glusterfs.pp,8,0.2222222222222222,8,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/manifests/openstack_haproxy/openstack_haproxy_swift.pp,7,0.14285714285714285,7,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/manifests/mysql_grant.pp,2,0.5,2,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-neutron/examples/neutron.pp,11,0.375,11,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-magnum/manifests/db/mysql.pp,5,0.2,5,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/openstack/manifests/ha/mysqld.pp,10,0.21428571428571427,10,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-tripleo/manifests/fencing.pp,5,0.42857142857142855,5,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/manifests/fuel_pkgs/setup_repositories.pp,3,0.3333333333333333,3,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-openstack-cookiecutter/puppet-{{cookiecutter.project_name}}/manifests/db.pp,7,0.26666666666666666,7,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-ceilometer/manifests/db/mysql.pp,13,0.2,13,0,1
